shop_name,shop_adr
アジアン屋台村 ALIBABA経堂店,東京都世田谷区宮坂3-23-1日佳ビル１Ｆ
ピラブカウ 綾瀬店,東京都足立区綾瀬2-24-11
味庵,東京都八王子市台町4-44-2
アジアン・タイペイ,東京都調布市布田2-28-7サカイヤ第２ビル１Ｆ
アジアンオーキッド,東京都中央区京橋3-3-13平和ビル3号館1F
アジアン厨房,東京都中央区日本橋堀留町2-6-2ドールジャパン翔ビルＢ１Ｆ
ボンセン,東京都港区六本木4-8-5和幸ビルＢ１Ｆ
Bangkok Bistro  サバーイディー,東京都北区赤羽2-12-6直井ビル1F
ブアールアン,東京都足立区千住中居町27-17比企ビル
Ｗｅ,東京都渋谷区恵比寿西1-15-8ＳｕｎＥｂｉｓｕＢ１Ｆ・１Ｆ
マンゴツリー東京 （mango tree tokyo）,東京都千代田区丸の内丸の内ビルディング35F
ワントーン,東京都文京区本郷3-5-2
イサーンバーンハオ,東京都中野区弥生町2-27-6
フォー麺,東京都品川区上大崎2-16-9アトレ目黒１Ｂ１Ｆ
RAAN JING JING THAI Seijo,東京都世田谷区成城6-3-14テラウェアビル１階
ルアンカウスワイ,東京都墨田区錦糸4-12-7
LEELAWADEE,東京都港区芝5-15-2富川ビル２Ｆ
ぷあん,東京都杉並区西荻南2-24-1
immigrant’s Cafe,東京都港区南青山5-9-15共同ビルB1
青いパパイヤ,東京都北区十条仲原1-1-7第３北成ビルＢ１Ｆ
チョークディー,東京都練馬区豊玉北5-22-1コンフォート1階
バーンチアン,東京都豊島区西池袋1-37-8JPビル7F
プリック,東京都豊島区池袋2-62-6
Thai Tae Restaurant,東京都豊島区池袋2-14-1マツヤマビル2F
コム・フォー,東京都港区虎ノ門1-16-2岩尾ビル１Ｆ
タイチキンランナ,東京都福生市大字福生875
プーピン,東京都大田区西蒲田7-6-1
タイフード＆バー　クルンテープ ミッドナイト,東京都新宿区新宿2-12-9大倉ビル1F
CUP’S 霞が関店,東京都千代田区霞が関3-2-5霞が関ビル1F
オーエンジャイ,東京都足立区綾瀬4-9-23
タイレストラン　プラートーン,東京都西東京市ひばりが丘1-8-27
エレファントキッチン,東京都三鷹市下連雀3-33-17グラシアス三鷹１Ｆ
ミス サイゴン,東京都武蔵野市吉祥寺南町1-8-5太田ビルＢ１Ｆ
ミス・サイゴン,東京都渋谷区道玄坂2-29-18６Ｆ
SARA,東京都中央区銀座7-2-8東建ビル１Ｆ
メコン,東京都豊島区西池袋3-26-5ニュー松本ビルＢ１Ｆ
タイカリーピキヌー,東京都世田谷区駒沢1-4-10サエキビル１Ｆ
ナム・サオ,東京都港区赤坂3-14-7ユニ赤坂ビル４Ｆ
PHO24 池袋東口駅前店,東京都豊島区南池袋1-26-6TheSHone地下1階
ゲウチャイ マーケット,東京都墨田区江東橋4-12-3
バーンリムパー 新宿三丁目,東京都新宿区新宿3-11-1高須ビル1F
バンコック　ポニー食堂,東京都中央区新川2-12-17マルコウ八重洲通りビル１F
ヴェトナム・アリス 赤坂店,東京都港区赤坂3-1-6ベルビー赤坂２Ｆ
アルン 東陽店,東京都江東区東陽3-24-18２Ｆ
クルン・サイアム 中目黒店,東京都目黒区上目黒1-6-5森ビル2F202
チェンマイ,東京都千代田区有楽町1-6-10スクワール日比谷ビルＢ１Ｆ
タイクラシック,東京都文京区本郷3-5-2宇佐美ビル２Ｆ
ドングーア,東京都千代田区神田佐久間町2-11
ランサーン,東京都武蔵野市吉祥寺本町1-32-9モトハシビル２Ｆ
タイオーキッド,東京都港区赤坂3-17-10フローレンス一ツ木ビル３Ｆ
タイレストラン センタワン,東京都中央区八丁堀3-14-2東八重洲シティビル１Ｆ
ドン ファン ティン,東京都千代田区神田鍛冶町3-7花瀧ビル１Ｆ
クエトイ,東京都品川区西五反田7-12-4
アジアトリップカフェ,東京都港区芝大門2-8-4芝大門武屋ビル1階
リトル・サイゴン,東京都世田谷区北沢2-19-17沢田屋ビルＢ１Ｆ
com＆bia わっくら,東京都小金井市本町1-19-4
カオケン,東京都新宿区歌舞伎町1-7-1２Ｆ
OMELY,東京都新宿区四谷1-7-15山田ビル
タイレストランボス,東京都新宿区高田馬場1-29-15
サイゴン 有楽町店,東京都千代田区有楽町1-10-1有楽町ビルＢ１Ｆ
タイレストラン ボス さかえ通り店,東京都新宿区高田馬場3-4-141階
マプラー,東京都千代田区神田小川町3-2-1古室ビル２Ｆ
俺の台所,東京都豊島区西池袋5-1-3メトロシティー池袋2F
ティッチャイ,東京都世田谷区代沢5-29-8
タイ居酒屋 トンタイ,東京都新宿区大久保1-1-2泰正ビル２Ｆ
Bistrot Ami,東京都豊島区目白3-2-9村松ビル１Ｆ
ダイニングバー グリーンパパイヤ,東京都杉並区和泉3-13-21さくらやビル２Ｆ
サムヤーン,東京都中野区中野5-57-2ウケシマビル２F
Charleston Cafe ORIENTAL,東京都港区西麻布3-1-20Ｄｅａｒ西麻布１Ｆ
サワディー,東京都台東区上野2-4-4信水ビル２Ｆ
カオマンガイ専門店 Pui,東京都江東区木場6-11-9１Ｆ
シャム,東京都新宿区新宿4-1-13田園新宿ビル９Ｆ
Thai Restaurant Paragon,東京都台東区上野2-2-3コロンビアビル３Ｆ
ハノイ,東京都三鷹市下連雀4-17-10ひだまりまきビル１Ｆ
aroyna tabeta 吉祥寺店,東京都武蔵野市吉祥寺本町1-9-10Ｂ１Ｆ
ジャンズ,東京都世田谷区玉川3-5-7黒川ビル３Ｆ
タラ,東京都国分寺市本町2-2-12コムロビルＢ１Ｆ
Authentique,東京都杉並区高円寺北2-22-11
サワディー,東京都新宿区中落合1-20-16中井ビル２Ｆ
フォー麺,東京都新宿区歌舞伎町1-30-1西武新宿PePeB2
チャンタイ お台場・デックス東京ビーチ,東京都港区台場1-6-1デックス東京ビーチシーサイドモール５Ｆ
kitchen,東京都港区西麻布4-4-12ニュー西麻布ビル２Ｆ
ロム　アロイ,東京都中野区東中野1-55-51F
キンナリー,東京都台東区上野2-11-20タンポポビル４Ｆ
グリーン・カレー,東京都新宿区西早稲田3-29-3２Ｆ
ミ・レイ,東京都大田区蒲田5-1-4関根ビル２Ｆ
ミュン 新宿店,東京都新宿区新宿1-3-8ＹＫＢ新宿御苑ビルＢ１Ｆ
ハンサム食堂,東京都杉並区西荻南3-11-5
メイナム,東京都調布市西つつじケ丘2-1-10
タイダイニングバーR,東京都豊島区西池袋3-27-3S&KビルB1F
セーントーン,東京都杉並区高円寺北3-2-14２F
ECODA HEM　エコダヘム,東京都東京都練馬区旭丘1-74-9
THI THI,東京都大田区蒲田5-26-6B1
ロータスパレス 池袋東武SPICE 池袋東武SPICE,東京都豊島区西池袋1-1-25東武百貨店ＳＰＩＣＥ11Ｆ
シャム,東京都新宿区歌舞伎町1-3-11梅村ビル２Ｆ
レモングラス,東京都中央区銀座5-1-8銀座ＭＳビル５Ｆ・６Ｆ
ラックタイ,東京都港区西新橋1-21-14
タニ　キッチン 鹿嶋山王店 （Thani Kitchen）,東京都品川区大井7-29-8
タイレストラン・イサーン,東京都大田区西蒲田7-69-1
ポータイ,東京都港区赤坂2-9-4千代田ビルＢ１Ｆ
マライ,東京都練馬区東大泉1-27-20栗原ビル２Ｆ
チャオタイ銀座店,東京都中央区銀座西2-2銀座インズ２B1F
クルンテープ２,東京都新宿区新宿3-17-13KEIビル3F
タイレストラン チェンマイ,東京都調布市仙川町1-16-18
パッタイ,東京都町田市原町田6-21-27ＯＨＥ３Ｆ
トムヤムクン,東京都狛江市中和泉1-2-10
エイジアンテーブル,東京都港区海岸1-16-2ホテルインターコンチネンタル東京ベイ３Ｆ
CHAD CAFE 麻布十番,東京都港区東麻布2-24-6木村麻布ビル１Ｆ
タイカレーの専門店 アジアの台所 トゥクトゥク,東京都渋谷区代々木1-36-6代々木駅前ビルB1
たんたわん,東京都福生市大字福生880-17
Thai Restaurant　トムヤムクン,東京都杉並区桃井4-4-19サンコーポ桃井１F
チャン サイアム,東京都杉並区上高井戸1-1-10
レストラン サイゴン 有楽町店,東京都千代田区有楽町1-10-1有楽町ビルＢ１Ｆ
ヴェトナム・アリス 国立近代美術館フィルムセンター店,東京都中央区京橋3-7-6国立近代美術館フィルムセンター１Ｆ
トムヤムクン,東京都大田区西蒲田5-23-4-102
ジュティポーン 雑色店,東京都大田区仲六郷2-14-8
ワニダ,東京都北区赤羽1-48-2
スィー アユタヤ,東京都世田谷区南烏山5-17-11倉田ビル2F
ピッキーヌ,東京都杉並区阿佐谷北2-9-5２Ｆ
hide’s bar,東京都新宿区西新宿7-15-15東宝観光ビル二階
Lukla Himalaya （ルクラヒマラヤ）,東京都渋谷区代々木4-5-1
レストラン　サイゴン,東京都千代田区丸の内1-4-5三菱UFJ信託銀行本店ビルB1Ｆ
KAFFIR LIME　カフィアライム,東京都渋谷区神宮前6-1-5２Ｆ
バンコク 鹿楼,東京都千代田区富士見1-9-18
ノムカフェ （nom ca phe）,東京都杉並区西荻北2-1-8
クルンテープ,東京都新宿区新宿2-12-4アコードビル２Ｆ
ゲウチャイ 目黒店,東京都品川区上大崎2-14-9目黒東誠ビルＢ１Ｆ
Ciao! Bamboo,東京都渋谷区神宮前6-1-5
ナチュラルフード　ダイニング くせものや 新宿,東京都新宿区西新宿7-9-13ウインド西新宿2F
とびら,東京都世田谷区北沢2-23-6
遊食三昧 NIJYU-MARU 蒲田店,東京都大田区西蒲田7-6-4プリンス会館5～6F
海南鶏飯食堂２,東京都渋谷区恵比寿1-21-14ＣＯＳＴＡＤＥＶＥＲＡＮＯ１Ｆ
BANG SAEN AROY JING JING（バンセーン アロイチンチン）御茶ノ水店,東京都千代田区神田駿河台3-1-1大雅ビル5F
ヴェトナム・アリス 銀座店,東京都中央区銀座3-2-1プランタン銀座本館７Ｆ
シミリック,東京都千代田区岩本2-8-10神田永谷マンションB1
サイゴン　フォー,東京都豊島区南大塚2-15-6金文字ビル地下1階
フォーハウス 町田店,東京都町田市原町田6-6-14町田ジョルナＢ２Ｆ
Cafe Montana,東京都武蔵野市吉祥寺本町2-10-2本町田中ビル１F
我兎我兎stadium,東京都江戸川区西小岩1-29-2信守ビル
バインミー☆サンドイッチ,東京都新宿区高田馬場4-9-18畔上セブンビル1F
BAR  QWANG,東京都港区西麻布3-2-18ＲＤ西麻布Ｂ１Ｆ
バタフライ カフェ BUTTERFLY CA PHE,東京都渋谷区西原3-21-3SINISIビル1階
Mango Tango 代官山店,東京都渋谷区猿楽町11-1ラ・フェンテ代官山Ｂ１Ｆ
チャンノイ,東京都新宿区歌舞伎町1サブナード地下街
キーマオキッチン Kee Mao Kitchen,東京都杉並区荻窪5-29-9本橋第2ビル2F
ティーヌン 町田東急ツインズ店,東京都町田市原町田6-4-1町田東急ツインズイースト8F
バンコックの風,東京都杉並区和田1-17-10
麺香房 天照,東京都葛飾区堀切5-3-1
レストラン サイゴン Food Show,東京都渋谷区渋谷2-24-1東急東横店Ｂ１Ｆ
マンゴツリーデリ 渋谷ヒカリエShinQs,東京都渋谷区渋谷2-21-1渋谷ヒカリエB3F
タイラーメン タイランドショップ,東京都墨田区錦糸3-7-5
メーヤウ,東京都新宿区信濃町21大門ビルＢ１Ｆ
コリアンダー,東京都港区西麻布1-10-6ＮＩＳＨＩＡＺＡＢＵ１１０６Ｂ１Ｆ
リリオカラニガーデンズ,東京都板橋区東山町13-15
タイの食卓 オールドタイランド,東京都千代田区富士見2-3-8横江ビル２階
マンゴツリーデリ 伊勢丹新宿本店,東京都新宿区新宿3-14-1伊勢丹新宿本店B1F
スイタイ,東京都府中市宮西町1-5-1フラココ第８ビル２階
タイレストラン クルンテープ2,東京都新宿区新宿3-17-13KEIビル3F
ティーヌン 西荻窪店,東京都杉並区西荻北3-1-6
タイ居酒屋 ルアムジャイ,東京都新宿区大久保2-6-10B1・1F
ダイス,東京都渋谷区笹塚1-57-10笹塚駅前ビル２Ｆ
タイカフェ　BLUE PAPAYA,東京都千代田区鍛冶町2-8-1平野ビル1F
Silom cafe,東京都港区赤坂7-10-8
ユマ・ミーナ,東京都北区上十条2-27-4
Vietnamese Sandwiches Vi-sand,東京都世田谷区北沢2-12-3石川ビル1F
コチャーン,東京都新宿区歌舞伎町1-2-19藤守ビル2F
サングリア,東京都千代田区丸の内2-2-1岸本ビルＢ１Ｆ
クルン・サイアム 吉祥寺店,東京都武蔵野市吉祥寺本町1-8-24小島ビルB１F
RicePlus,東京都渋谷区円山町28-8第18宮庭マンション1F奥の白い扉
ヤムタイキッチン,東京都渋谷区宇田川町32-7アワーズビル３Ｆ
FLYINGBOARD,東京都世田谷区弦巻5-6-16弦巻リハイム１Ｆ
ベトナミーズ・カフェ・カラテ チョップ,東京都世田谷区北沢2-7-3
アンドンカフェ,東京都杉並区高円寺北2-22-6２Ｆ
アジアの味,東京都渋谷区宇田川町28-12遠藤ビル２Ｆ
コム・フォー渋谷店,東京都渋谷区道玄坂1-2-2渋谷東急プラザB2F
ティーヌン 阿佐ヶ谷店,東京都杉並区阿佐谷南3-1-23
ティーヌン 溜池山王店,東京都港区赤坂2-10-6
an‐ji,東京都新宿区高田馬場2-15-4
バーンリムパー,東京都新宿区百人町1-5-1Ｂ１Ｆ
タイラーメン＆カレー　セブン　７,東京都世田谷区梅丘1-23-4可瀬ビル１Ｆ
メナム 六本木,東京都港区西麻布3-1-20Ｄｅａｒ西麻布１Ｆ・２Ｆ
タイ市場食堂 タラート,東京都世田谷区北沢2-11-3イサミヤビルＢ１Ｆ
伍市,東京都葛飾区新小岩1-56-2ルミエール商店街
昆明飯店,東京都豊島区駒込1-19-1ピアレスビル
チャイヤプーム,東京都渋谷区神宮前6-4-1原宿八角館４Ｆ
アムリタ食堂,東京都武蔵野市吉祥寺本町2-17-12１Ｆ
Ruchi,東京都渋谷区代々木1-54-2ナリオカビル半地下
亜州食道,東京都江東区佐賀1-1-6アイアンクォータビル１Ｆ
メーヤウ 早稲田店,東京都新宿区馬場下町18-9秋山ビル２Ｆ
まんまるまんとう,東京都杉並区高円寺北1-4-1
LoyKratong Resort （ロイクラトンリゾート）,東京都渋谷区神宮前1-8-10ジ・アイスキューブス8・9F
chok-di,東京都中央区日本橋本石町4-4-14
ドンナイ,東京都台東区上野3-20-2水野ビル２Ｆ
スクムウィット,東京都港区南青山2-12-15南青山２丁目ビル２Ｆ
ジャミル,東京都千代田区鍛冶町2-8-4
SOI 7,東京都目黒区上目黒2-12-7
スチャダー,東京都北区東十条4-5-7
ヌアサヤム,東京都新宿区歌舞伎町1-2-16第一オスカービル2F
セーバトォモネ,東京都足立区伊興本町1-3-11
バンコクキッチン　恵比寿店,東京都渋谷区恵比寿4-3-1クイズ恵比寿３階
thai kitchen 5,東京都豊島区西池袋3-25-8町田ビル1F
マライ・タイなべ,東京都練馬区東大泉5-41-6
KISA,東京都武蔵野市吉祥寺本町1-35-17
サラカーム,東京都練馬区関町東1-6-7
ワサナキッチン,東京都江戸川区西小岩1-25-10よし甚ビル2F
パナマ,東京都中野区中野3-33-15
バーンリムパー 笹塚店,東京都渋谷区幡ヶ谷2-56-5
ブーゲンビレア,東京都渋谷区道玄坂2-25-9ロマネ８０ビル２Ｆ
ワンタイ タイレストラン,東京都中央区京橋2-6-19溝口山陽ビルＢ１Ｆ
タイ・イサン,東京都江戸川区西葛西6-18-3ＫＩＲＡＫＵ２Ｂ１Ｆ
ミュン 池袋店,東京都豊島区西池袋5-1-6第２矢島ビル２Ｆ
VINATEX,東京都杉並区高円寺南3-20-13サンセリコビル２Ｆ
ＰＨＯ専門店 HIDARIMAKI,東京都三鷹市下連雀3-26-9サンシロービル1F
Anne Nam,東京都世田谷区奥沢3-45-2２Ｆ
Asian Healthy Dining Glamorous,東京都港区南青山3-8-2青山OGビルB１
アジアンリゾートキッチン ポップイン,東京都中央区銀座8-4-2タクミビル２Ｆ
トゥクトゥク,東京都品川区上大崎2-13-22シーアイマンション白金１Ｆ
チャオチャオバンブー　Chao! Chao! bamboo,東京都渋谷区神宮前6-7-12
エスニックフード＆トロピカルドリンク　ＺＩＯＮ （ザイオン）,東京都練馬区上石神井1-16-12
トンプー菜麺,東京都千代田区神田小川町3-28-13
タイ＆インド料理　ＮＩＲＡＬＡ 経堂南口店,東京都世田谷区経堂5-29-21
バンコク屋台料理  スクンビット・ソイ・トンロー  東京八重洲店,東京都中央区八重洲1-5-17B1
タイ料理 チャトゥ チャック,東京都杉並区高円寺北3-2-14２Ｆ
ベトナムアジア酒家 印度支那,東京都文京区小石川5-3-3
天然アジア料理エバーグリーン,東京都世田谷区桜丘2-18-17
タイ料理 パヤオ,東京都台東区浅草橋1-10-8第二石渡ビル２Ｆ
ROOF TOP BEER GARDEN ヤドヴィガ,						東京都渋谷区恵比寿南１-6　アトレ恵比寿西館8階
LENTEZZA レンテッツァ 田町,						東京都港区芝５－１５－７
まんぷくカルビ　五反田,						東京都品川区西五反田２－７－８
TunTen,						東京都新宿区西早稲田２-18-20
狛江サイゴン,						東京都狛江市和泉本町１‐３‐１
セーンタイ,						東京都板橋区成増２-15-10 2F
チャオタイ　銀座店,						東京都中央区銀座２‐２　銀座インズ２　Ｂ１Ｆ
アジアンダイニング　グラス　月島,						東京都中央区月島４－13－11
タイスマイルキッチン,						東京都大田区大森北１-29-6
Bar Dragon Fruit,						東京都渋谷区西原３－２４－１２　テラ代々木上原１０３
Monsoon Cafe　（モンスーンカフェ）　自由が丘,						東京都目黒区自由が丘１-26-4 ステラ自由が丘　Ｂ１Ｆ
ティーヌン　西早稲田本店,						東京都新宿区西早稲田２－１８－２５　横川ビル
Thai Sabay　(タイ・サバイ)　池袋パルコ店,						東京都豊島区南池袋１-28-2 　池袋PARCO　８F
バンコク オリエンタル,						東京都目黒区下目黒１‐３‐１シーダム目黒２Ｆ
GIN KHAO,						東京都港区赤坂１-５
マンゴツリー東京　丸ビル,						東京都千代田区丸の内２－４－１　丸の内ビルディング　３５Ｆ
東京カオマンガイ,						東京都千代田区内神田３‐７‐８
バンコク　レストラン,						東京都港区六本木３‐８‐８Ｗｏｏビル２Ｆ
チョップスティックス吉祥寺店,						東京都武蔵野市吉祥寺本町１－３１－４ 日得ビル１F
タイ国専門食堂,						東京都港区芝公園２‐１２‐１５　大国ビル１Ｆ
ビアホイチョップ,						東京都中野区中野５-53-1 1F
稲草園,						東京都新宿区四谷１－７　１Ｆ・Ｂ１Ｆ
cafe viet arco,						東京都世田谷区北沢２-26-6 モンブランビル2F
池袋　フォーチュン　Pho Trung,						東京都豊島区西池袋３-23-8　丸ビルB1
VIETNAMESE CYCLO　ベトナミーズ　シクロ　六本木,						東京都港区六本木６－１－８ 六本木グリーンビルB１F
QUAN AN TAM　（クァンアンタム）,						東京都目黒区自由が丘１‐２８‐８　自由が丘デパート２F
リバーサイゴン,						東京都狛江市東和泉３‐１０‐７
ニャーヴェトナム　フォー麺　タカシマヤタイムズスクエア,						東京都渋谷区千駄ヶ谷５－２４－２　タカシマヤタイムズスクエア１３階
サバイチャイ タイ料理,						東京都墨田区太平２-８-３
タイ料理　バーンチャーン,						東京都立川市曙町２-23-1嫩（フタバ）ソシアルビル1F
GoENya,						東京都杉並区阿佐谷北２-2-8
ダイニングTSUBAKI GARDEN,						東京都渋谷区東１　３－１　カミュート４号
バーン・イサーン,						東京都杉並区高円寺南４－２５－８　第２高円寺ＫＳビル１階
HATY HATY,						東京都中央区日本橋本町１-8-8 金山ビル1F
 SAPANA（サパナ）　水道橋西口店,						東京都千代田区神田三崎町２－２０－８　FUNDES水道橋　１F
BANGKOK SMILE　（バンコクスマイル）,						東京都港区愛宕２-5-1　 愛宕グリーンヒルズ MORIタワー2階
The Spice ザ・スパイス,						東京都品川区戸越５－１９－１２
旅人食堂　町田屋台店,						東京都町田市原町田４‐5-9
ThaiLandKitchen Lotus Lounge（ロータスラウンジ）新宿 ,						東京都新宿区新宿３-31-1大伸第2ビル4Ｆ
アジアン屋台バル　クアトロ　恵比寿,						東京都渋谷区恵比寿南１-7-8 ニューライフ恵比寿102
アジアンダイニング　恵比寿　ガパオ食堂,						東京都渋谷区恵比寿南２－１－１　恵比寿大森ビル2F
マレーアジアンクイジーン,						東京都渋谷区渋谷２丁目9-9 SANWA青山ビル2F
チャーリーズ 保谷店,						東京都西東京市東町３‐13-19 ソレイユ保谷
０（例）のところ　マオラオ,						東京都港区新橋１-15－2　新橋TYビル　「０（例）のところ」２F
タイスマイル食堂,						東京都千代田区神田多町２-２-３元気ビル２階
らんまん食堂　京橋店,						東京都中央区京橋３-1-1 　東京スクエアガーデンB1
バンコクキッチン　新宿店,						東京都新宿区西新宿１-２６-２ 新宿野村ビルB１
リアル　石神井公園店,						東京都練馬区石神井町３-19-12大野壱番舘1F
GLOUGLOU REEFUR 代官山本店（グルグルリーファー）,						東京都渋谷区猿楽町24-7 代官山プラザビル 2F
マンゴツリーカフェ　ルミネ新宿店,						東京都新宿区西新宿１－１－５　新宿ルミネ1・７階
JIM　THOMPSON’S　Table　Thailand　マロニエゲート銀座１,						東京都中央区銀座２-２-１４　マロニエゲート銀座１-１０Ｆ
恵比寿　新東記,						東京都渋谷区恵比寿南１－１８－１２　竜王ビルII　2F
シリジャナ （SRIJANA）中村橋店,						東京都練馬区中村北４-2-2駅前ビル2F
アジアンダイニングバー　ニューナマステヒマール 東陽町店,						東京都江東区東陽３-27-25
ディップパレス　飯田橋サクラテラス店,						東京都千代田区富士見２－１０－２　グラン・ブルーム　サクラテラス３Ｆ
ハヌマン 池上店,						東京都大田区池上４-31-18
オリエンタルコート悠,神奈川県横浜市西区北幸2-2-14ハマボール６Fスパイアス内
エイジアンキッチンカフェ・ラーイマーイ,神奈川県川崎市幸区鹿島田701-1新川崎駅前ビル３Ｆ
ドゥ　ドゥ　サン 本店,神奈川県横浜市戸塚区戸塚町4164
タイレストラン 沌,神奈川県横浜市西区南幸1-5-1相鉄ジョイナスＢ２Ｆ
Hana Breeze,神奈川県横浜市中区太田町5-65平和プラザホテル１Ｆ
マンゴツリーデリ 横浜ポルタ,神奈川県横浜市西区高島2-16B1横浜駅東口地下街ポルタ
ホイ アン カフェ,神奈川県三浦郡葉山町堀内50-2葉山マリーナ２Ｆ
Aroi,神奈川県逗子市逗子5-3-31
泰同門 鵠沼橘本店,神奈川県藤沢市鵠沼橘1-3-10青葉ビル１Ｆ
Bangkok Spice（バンコクスパイス）,						東京都新宿区西新宿１－１４－４小黒ビル１Ｆ
アジアンバルフロッグス　神田店,						東京都千代田区内神田３東京都千代田区内神田３－１０－５
ハヌマン　雪が谷店,						東京都大田区南雪谷２-19-3
SIAM CELADON（サイアムセラドン） 御茶ノ水ソラシティ店,						東京都千代田区神田駿河台４－６　　御茶ノ水ソラシティ Ｂ１
ハヌマン 中延店,						東京都品川区東中延２-10-10
本町食堂,神奈川県藤沢市本町4-9-21
バーンタイ,神奈川県大和市西鶴間1-12-18
バンコクチキンライス南国泰飯,神奈川県藤沢市辻堂新町4-3-5「ミスターマックス湘南藤沢ショッピングセンター」２Ｆ
ＥＶＡＮ,神奈川県相模原市中央3-6-6トウエイビル１０１
Nha Viet Nam 横浜店,神奈川県横浜市西区南幸1-5相鉄ジョイナスB1
プアン,神奈川県秦野市本町1-1-6クレアーレＭＫビル２Ｆ
ベトナミーズ シクロ クイーンズ伊勢丹店,神奈川県横浜市西区南幸1-5-1相鉄ジョイナスＢ１Ｆクイーンズ伊勢丹横浜
タイ・エラワン,神奈川県横須賀市若松町1-2三橋ビル3F
ペンタイ,神奈川県大和市南林間2-10-17
チャオナム,神奈川県横浜市青葉区美しが丘1-10-1ピースフルプレイス2F
Hoa Hoa 藤沢店,神奈川県藤沢市南藤沢7-10１Ｆ
ゲウチャイ 横浜クイーンズイースト店,神奈川県横浜市西区みなとみらい2-3-2クイーンズイーストＢ１Ｆ
パイケオ,神奈川県海老名市東柏ケ谷2-25-20
イサンクラシック,神奈川県横浜市中区長者町7-112伊勢佐木センタービルＢ１Ｆ
サラタイ,神奈川県横浜市中区長者町6-98
パタヤ,神奈川県川崎市川崎区東田町3-3本甚ビル２Ｆ
クルアタイ,神奈川県海老名市東柏ケ谷2-30-13２Ｆ
サバイ・サバイ,神奈川県横浜市鶴見区鶴見中央1-2-4
タムラップタイ 藤沢店,神奈川県藤沢市鵠沼橘1-1-17サンヨービル２Ｆ
タイ食堂 ジャルアン,神奈川県相模原市鹿沼台1-11-7クリオ淵野辺参番館２０１
米麺酒場 フォーヴァビアホイ,						東京都中野区東中野１-51-13
スーアハノイ,						東京都台東区西浅草２-1-9
GreeN,						東京都新宿区四谷１-23上野KGビル2階
オリエンタルカラーズ　ルミネエスト新宿店,						東京都新宿区新宿３－３８－１　ルミネエスト７F
バインセオ・サイゴン　有楽町イトシア,						東京都千代田区有楽町２-７-１　有楽町イトシアB１Ｆ
イーサン食堂,神奈川県大和市南林間2-10-4
タイレストランサラタイ,神奈川県横浜市中区長者町6-98
レーロイ,神奈川県横浜市中区長者町8-123相模屋ビル１Ｆ
ゲンキョウワン,神奈川県藤沢市鵠沼石上1-8-11
サバイ・タイタイ,神奈川県川崎市川崎区東田町3-4
かにからす,神奈川県大和市代官3-13-24
とんがん,神奈川県大和市西鶴間1-15-9
PAKARANG,神奈川県海老名市東柏ケ谷2-25-20
タイレストラン　ションケオ,神奈川県横浜市中区末吉町1-19明和ビル102
ベンタィン,神奈川県横浜市港北区大豆戸町480-1菊名ハイツ１０３
イムイェム,神奈川県川崎市宮前区犬蔵1-9-21
ゲウチャイ ルミネ横浜店,神奈川県横浜市西区高島2-16-1ルミネ横浜店６Ｆ
サイゴン・ブリーズ,神奈川県藤沢市本鵠沼3-12-30２Ｆ
メーヤウ 大和南林間店,神奈川県大和市南林間2-13-8
トゥク トゥク タイ,神奈川県川崎市川崎区小川町4-1ＬＡＣＩＴＴＡＤＥＬＬＡＢ１Ｆ
ルックチャーン,神奈川県相模原市相模大野3-7-11
バーンウエンター,神奈川県鎌倉市雪ノ下3-3-26
トムヤムクン,神奈川県相模原市南区相模大野8-14-5
A・F・R  YOKOHAMA,神奈川県横浜市西区南幸2-16-8二幸ビルB1
食べ放題・飲み放題  川崎 アジアンスパイス,神奈川県川崎市川崎区砂子1-1-8第32東京ビル
アジアン料理  Asiatique  アジアティーク　江戸川橋店,						東京都文京区関口１-15-1
本格タイ料理　ナマステ東京　吉祥寺店,						東京都武蔵野市吉祥寺本町１-11-5 コピス吉祥寺Ａ館Ｂ１Ｆ
本格タイ料理バル　puan　学芸大学店,						東京都目黒区鷹番２-15-12 A-2ビル2F
タイ料理　CONROW　道玄坂店,						東京都渋谷区円山町５－２０　Ｂ１Ｆ
タイ屋台料理  ThaiFood STATION,						東京都港区白金３-5-2
あじあん屋台 ゆめ,神奈川県川崎市中原区上小田中3-27-5金子ビル２Ｆ
ベトナムフロッグ 横浜店,神奈川県横浜市中区新港2-2-1横浜ワールドポーターズ5Ｆ
Ｈａｎｏｉ ベトナムの食卓,神奈川県横浜市神奈川区西神奈川1-18-4
ベトナム料理 シクロ 横須賀店,神奈川県横須賀市上町1-44
食・ベトナム,神奈川県川崎市中原区上小田中3-27-10
ベトナム料理店・カイユァ,神奈川県横浜市港北区大豆戸町480-1菊名ハイツ103
CORNER　SHOP,						神奈川県茅ヶ崎市中海岸４－１－１　魚清ビル1F
HOME （ホーム）小田急座間店,						神奈川県座間市入谷５丁目１６７９
エスニックキッチン　サティー,						神奈川県横浜市戸塚区品濃町513-7 清光ビル102
南国カリィー　HANOHANO　平塚店,						神奈川県平塚市西真土１－３－８　２Ｆ
藤が丘　亜熱帯DINING　Juga,						神奈川県横浜市青葉区柿の木台１３－３－１０２
SONG BE CAFE　ソン・ベ・カフェ,						神奈川県鎌倉市御成町１３－３２
チャオタイ　川崎店,						神奈川県川崎市川崎区駅前本町３－１川崎東口ビルB1F
