shop_name,shop_adr
SIAM CELADON（サイアムセラドン）東京,						東京都千代田区丸の内１-8-2　鉄鋼ビルB1
アジアYATAIYA,神奈川県横浜市中区末吉町2-29-2
ジャスミンパレス 町田店 （JASMINE PALACE）,						東京都町田市原町田６-2-6 町田モディ 9階
グリーンパッタイ　神田店,						東京都千代田区神田駿河台３－７－１５　大場ビル１Ｆ
asian asian,						東京都足立区綾瀬２-24-11
SIAM CELADON （サイアムセラドン）　新宿タカシマヤ店,						東京都渋谷区千駄ヶ谷５－２４－２　タカシマヤタイムズスクエア１２階
カオマンガイ　16号,						東京都福生市福生2270
ディルクス,						東京都足立区扇２-3-17
カオマンガイ　バザール　三鷹店,						東京都武蔵野市中町１-3-2　ハウスプランニングビル１F
シヤー・トムヤムクン・ポーチャナー,						東京都台東区上野６-16-7DB-3F
マンゴツリーカフェ　ルミネ池袋店,						東京都豊島区西池袋１-11-1 ルミネ池袋「イケレス8&9」9Ｆ
バーン・カオケン,						東京都豊島区池袋２-62-3
ThaiDining555,						東京都新宿区西早稲田２-４-１９ 日本UBF1F
アジアンミントカフェ,						東京都墨田区江東橋１-７-２０
タイキッチン アロイ 天王洲アイル,						東京都品川区東品川２丁目３－１０シーフォートスクエア１Ｆ
ハヌマン 久が原店,						東京都大田区久が原３-40-4
THAI RESTAURANT BAN-THAI (タイレストラン　バンタイ）,						東京都新宿区歌舞伎町１‐23‐14　第一メトロビル3F 
GREEN ASIA TOKYO グリーンアジア　トウキョウ ,						東京都江東区青海１-3-15 ヴィーナスフォート 3F
スアータイ,						東京都新宿区新宿３－１２－４　熊三ビル２Ｆ
アジアン居酒屋 ジャラナ 木場・東陽町店,						東京都江東区南砂２-1-2
Shapla　神田店,						東京都千代田区鍛冶町２‐７‐６　リッツビル２Ｆ
ティーヌン　神保町店,						東京都千代田区神田神保町１-6 樋谷ビルB1
Muu Tokyo,						東京都港区芝４-13-13 西島1階2階
アジアン居酒屋ぷうじゃ 水道橋店,						東京都千代田区神田三崎町３－７－１４
バンコクスパイス　中目黒店,						東京都目黒区青葉台２－２１－９　１F
Monsoon Cafe　（モンスーンカフェ）　代官山,						東京都渋谷区鉢山町15-4
ZaaB (サップ)　駒込,						東京都文京区本駒込２－２８－２３　吉武ビル１F
タイアヨタヤレストラン,						東京都立川市柴崎町２-2-5　あすなろTビル2F
カオマンガイバザール立川店,						東京都立川市曙町２‐14‐10エトロアビル5F
トーン・ハー,						東京都江東区亀戸６－９－７
イム　アロイ　中目黒,						東京都目黒区青葉台１‐２１‐６　２Ｆ
ThaiFood＆Bar ロータス エイジア,						東京都目黒区鷹番２-20-8 モンテローザビル　2F 
アジアン居酒屋ジャラナ　飯田橋店,						東京都新宿区揚場町1-16 ヤマジハンテンビル
アジアン居酒屋ぷうじゃ　田端店,						東京都北区田端新町１-30-3
ラーンナー タイレストラン,						東京都品川区西五反田１-7-1 リピオ五反田プラグマGタワーB103
MMテーブル,						東京都武蔵村山市大南２－４７－２３
RoiKhon,						東京都港区浜松町１-29-6 セントラルビル　Ｂ１Ｆ
炭火焼アジアン酒場　アローイ兄弟　ほぼ新宿のれん街店,						東京都渋谷区千駄ヶ谷５-20-21 ほぼ新宿のれん街
sita  中目黒,						東京都目黒区上目黒１-20-2
Royalthali Asian restaurant & Bar 新橋店,						東京都港区新橋６-7-1
シリジャナ （SRIJANA）東久留米店,						東京都東久留米市本町１-3-30メランプスビル2F
チャンパー　伊勢丹会館,						東京都新宿区新宿３-15-17 伊勢丹会館 4F
バーンサイアム,						東京都調布市国領町４-8-7
アンコール・トム　町田店,						東京都町田市原町田６-11-14 菊甚ビル３F
メナムのほとり神保町本店,						東京都千代田区神田神保町２－１岩波神保町ビル別館1F
ラーチャプルック,						東京都渋谷区恵比寿南１-4-4 TIMEZONEビル　小町ビル　３F
バンコクキッチン　有楽町店,						東京都中央区銀座３－２－１５ギンザ・グラッセ８階
エスニックダイニング　ガルーダ,						東京都品川区西五反田１-17-1 第2東栄ビル 302
プーアン池袋,						東京都豊島区東池袋１-13-9鳥駒第2ビル３Ｆ
タイレストラン　沌（とん）　ＰＣＰ丸の内店,						東京都千代田区丸の内１－１１－１　ＰＣＰ　Ｂ１（鉄道会館/グランアージュ）
